167,51.5186,-0.0886,Moorgate,1,Circle Line,f7dc00,797,192
167,51.5186,-0.0886,Moorgate,1,Metropolitan Line,8b004c,797,192
167,51.5186,-0.0886,Moorgate,1,Hammersmith & City Line,f5a6b3,797,192
188,51.5263,-0.0873,Old Street,1,Northern Line,000000,805,112
192,51.515,-0.1415,Oxford Circus,0,Central Line,df002c,460,227
192,51.515,-0.1415,Oxford Circus,0,Victoria Line,0076bd,460,227
193,51.5154,-0.1755,Paddington,1,Bakerloo Line,ab6612,244,224
193,51.5154,-0.1755,Paddington,1,Circle Line,f7dc00,242,212
193,51.5154,-0.1755,Paddington,1,Circle Line,f7dc00,244,224
193,51.5154,-0.1755,Paddington,1,Circle Line,f7dc00,244,224
193,51.5154,-0.1755,Paddington,1,District Line,0d6928,244,224
193,51.5154,-0.1755,Paddington,1,Hammersmith & City Line,f5a6b3,242,212
208,51.5107,-0.1877,Queensway,0,Central Line,df002c,164,272
212,51.5234,-0.1466,Regent's Park,0,Bakerloo Line,ab6612,392,141
223,51.523,-0.1244,Russell Square,0,Picadilly Line,002d73,568,145
229,51.4924,-0.1565,Sloane Square,0,Circle Line,f7dc00,365,459
229,51.4924,-0.1565,Sloane Square,0,District Line,0d6928,365,459
236,51.4941,-0.1738,South Kensington,0,Picadilly Line,002d73,254,441
236,51.4941,-0.1738,South Kensington,0,Circle Line,f7dc00,254,441
236,51.4941,-0.1738,South Kensington,0,District Line,0d6928,254,441
250,51.5146,-0.0973,St. Paul's,0,Central Line,df002c,743,232
255,51.5111,-0.1141,Temple,0,Circle Line,f7dc00,635,268
255,51.5111,-0.1141,Temple,0,District Line,0d6928,635,268
259,51.5165,-0.131,Tottenham Court Road,0,Central Line,df002c,527,213
259,51.5165,-0.131,Tottenham Court Road,0,Northern Line,000000,527,213
263,51.5098,-0.0766,Tower Hill,0,Circle Line,f7dc00,874,281
263,51.5098,-0.0766,Tower Hill,0,District Line,0d6928,874,281
273,51.4965,-0.1447,Victoria,1,Circle Line,f7dc00,440,416
273,51.4965,-0.1447,Victoria,1,Victoria Line,0076bd,440,416
